101|Lahore|Dubai|27-04-2026 10:30|27-04-2026 14:10|S|3|2|45000.000000|120000.000000|BAABB
102|Islamabad|Los Angelies|29-04-2026 10:30|30-04-2026 01:10|S|5|2|450400.000000|123000.000000|BAABABA
103|Karachi|London|01-05-2026 09:00|01-05-2026 14:30|S|2|5|55000.000000|150000.000000|BAABBAA
104|Peshawar|Dubai|02-05-2026 06:15|02-05-2026 09:05|L|8|3|30000.000000|90000.000000|AABABAABABB
105|Lahore|Toronto|03-05-2026 22:00|04-05-2026 08:45|C|12|5|75000.000000|200000.000000|AAABABBABBBABBAAA
106|Quetta|Istanbul|04-05-2026 12:30|04-05-2026 16:20|C|6|2|48000.000000|130000.000000|ABBAABAB
107|Islamabad|New York|05-05-2026 23:15|06-05-2026 10:00|S|15|6|90000.000000|250000.000000|ABABBABABBAAAAAABBABA
108|Faisalabad|Jeddah|06-05-2026 05:45|06-05-2026 08:00|S|9|3|25000.000000|70000.000000|ABABBBAABABA
109|Multan|Paris|07-05-2026 14:00|07-05-2026 20:30|C|11|4|80000.000000|210000.000000|ABBBAAABBBBBBBB
110|Sialkot|Doha|08-05-2026 10:20|08-05-2026 12:50|A|7|2|22000.000000|65000.000000|ABBBAABBB
111|Lahore|Islamabad|27-04-2026 10:30|27-04-2026 23:30|S|5|10|1000.000000|15000.000000|BAAAAAABBAAAAAA
